Formula,Space group number,Band Gap (eV),Debye T (K)
DyGaO3,62,3.64,416
Dy3Ga5O12,230,3.30,479
Dy2Ge2O7,227,2.97,472
DyInO3,185,1.99,329
DyO9P3,9,5.59,477
DyO14P5,62,5.44,489
DyO14P5,15,5.25,487
Dy2OS2,14,2.56,297
Dy2OS2,62,2.17,267
Dy2O2S,164,3.01,307
Dy3O12Sb5,217,3.16,384
Dy2O7Sn2,227,2.71,446
DyPS4,142,2.16,293
Dy4S12Si3,14,2.36,244
Er3F5O2,62,5.62,320
Er3GaO6,36,3.54,336
Er3Ga5O12,230,3.33,478
Er3GaS6,36,2.11,219
ErO14P5,62,5.44,513
ErO14P5,15,5.23,512
Er2OS2,14,2.65,287
Er2O2S,164,3.07,305
Er3O12Sb5,217,3.12,379
Er2O7Sn2,227,2.67,431
ErPS4,142,2.14,275
EuFO,166,0.00,388
EuF7Sn,4,0.04,254
EuF7Sn,14,0.01,193
EuGeS3,2,0.20,202
EuO14P5,14,0.09,429
EuPS3,14,0.74,252
Eu3S9Sb4,62,0.05,269
Eu2S4Si,11,0.38,265
Eu2S4Sn,62,0.02,266
Eu3S7Sn2,55,0.01,216
F4GaK,62,5.22,274
F6GaLi3,15,6.28,451
F14Ga3Na5,14,5.22,292
FGdO,166,3.30,352
F7GdSn,14,4.45,227
F6GeK2,186,5.89,264
F6GeK2,164,5.80,255
F6GeLi2,136,5.74,418
F6GeLi2,150,6.05,409
F6GeNa2,150,5.79,293
F6GeNa2,164,5.60,271
F6GeRb2,186,5.88,216
F6GeRb2,164,5.80,213
F6GeRb2,225,5.97,195
F7In2K,11,3.90,115
F4InLi,60,4.01,415
F11In3Rb2,11,4.07,96
F10In3Rb,17,3.44,153
F7InSr2,14,4.95,215
F15InZr3,167,5.41,285
F6KP,205,7.22,251
F6KP,148,7.02,319
F13KSb4,87,4.74,124
F13KSb4,82,4.66,136
F7KSb2,14,4.16,53
F6KSb,206,4.96,178
F4KSb,59,4.43,143
F5K2Sb,63,4.68,243
F5K2Sb,4,4.36,193
F5K2Sb,14,4.74,113
F5K2Sb,14,4.74,199
F6K2Si,186,7.19,245
F6K2Si,225,7.22,228
F7K3Si,127,5.92,196
F5KSn2,143,0.46,130
F3KSn,2,3.51,167
FLaO,166,4.23,281
FLaO,129,4.57,295
F7LaSn,14,5.20,156
F6LiP,148,7.54,424
F6LiSb,148,4.93,308
F5Lu3O2,62,5.64,334
F4MoO,14,4.17,366
F6NaP,225,7.01,338
F6NaP,225,7.01,338
F10NaSb3,173,4.97,153
F6NaSb,225,4.89,267
F18Na3Sb5,14,4.38,153
F4NaSb,14,4.33,234
F4NaSb,14,4.33,235
F5Na2Sb,19,4.82,266
F6Na2Si,164,6.87,324
F6Na2Si,150,6.99,268
F6Na2Si,164,6.87,232
F5NaSn2,133,3.78,72
F6Na2Sn,136,4.96,307
FNb3O7,65,1.49,380
F10NbSb,2,4.35,150
FNdO,166,4.50,301
FNdO,166,4.50,301
FOPr,166,4.44,299
FOSc,14,4.59,582
FOSm,166,4.66,348
FO7Ta3,65,2.22,330
FOTb,166,4.93,347
F3OV,14,3.65,489
F4OW,12,3.10,415
F9O6Y7,39,2.72,438
FOY,166,4.93,441
FOY,129,4.95,430
F7RbSb2,14,4.27,38
F6RbSb,148,4.88,227
F6Rb2Si,225,6.99,186
F7Rb3Si,127,5.66,142
F5SbSr,57,4.76,244
F7SmSn,14,4.95,238
F16Sn6Ti,15,2.70,238
F7SnY,4,4.75,276
F7SnY,14,4.90,225
Ga5Gd3O12,230,3.26,489
GaGdO3,62,3.40,490
GaGd3O6,36,2.97,351
Ga5Ho3O12,230,3.33,477
GaHoO3,185,2.87,342
GaHoO3,62,3.61,445
GaHo3O6,36,3.56,380
GaKO2,61,3.05,303
GaK3O3,12,2.62,300
GaK3S3,14,2.71,204
GaLa2N3,15,1.81,336
GaLaO3,167,3.38,449
GaLaO3,62,3.58,435
Ga2La4O9,14,3.89,328
GaLaS3,14,2.22,247
GaLi3N2,206,2.38,680
GaLiO2,33,3.20,468
GaLiO2,166,3.74,655
GaLi5O4,61,3.76,485
GaLiS2,33,2.96,284
Ga5Lu3O12,230,2.35,456
Ga2MgO4,227,3.11,557
Ga2MgS4,15,1.97,238
GaMo4S8,160,0.18,468
Ga3N5Sr3,2,1.36,441
Ga2N4Sr3,52,1.59,406
GaN3Sr3,176,0.57,384
GaN5Sr6,193,0.31,339
GaNaO2,33,2.86,423
GaNaO2,61,2.79,351
Ga2Na8O7,14,2.26,429
GaNa5O4,61,2.20,364
Ga2Na4S5,14,2.48,280
GaNa3S3,14,2.61,276
GaNa3S3,14,2.61,271
Ga5Nd3O12,230,3.06,484
GaNdO3,62,3.45,486
Ga2Nd4O9,14,3.60,363
GaNd3O6,36,3.65,370
GaO3Pr,62,3.39,508
Ga2O9Pr4,14,3.61,351
